symbol,detected_at,signal_type,rank,total_score,score_slope,score_volume,score_rsi,score_hold,score_deviation,score_macd,score_weekly,entry_price,exit_price,return_pct,holding_days,rsi_value,volume_ratio,deviation_pct
6136.T,2025-06-25,GC,C,58,0,10,15,0,10,8,15,1689,1712.5,1.3914,5,60.64,1.3,2.13
2017.T,2025-06-24,GC,B,65,0,20,5,25,10,-10,15,1079,1103,2.2243,5,48.78,2.14,3.1
6113.T,2025-06-09,GC,C,50,10,-15,15,25,10,-10,15,1467,1537,4.7716,5,59.18,0.42,1.63
1550.T,2025-06-19,GC,B,75,0,20,15,25,10,-10,15,5871,5973,1.7374,5,55.17,2.7,4.34
9621.T,2025-06-24,GC,C,50,20,-15,15,25,0,-10,15,2707,2810,3.805,5,54.85,0.31,9.87
1965.T,2025-06-15,GC,B,70,20,20,15,25,-15,-10,15,3605,3700,2.6352,5,60.91,1.7,18.63
3557.T,2025-06-29,GC,D,23,10,10,-5,0,10,8,-10,950,934,-1.6842,5,88.46,1.13,4.11
3192.T,2025-06-23,GC,D,0,-20,-15,-15,25,10,-10,15,268,273,1.8657,5,28.57,0.55,2.82
2242.T,2025-06-17,GC,D,15,0,-15,15,25,10,-10,-10,566.2,572.6,1.1303,5,51.1,0.15,1.19
7760.T,2025-06-11,GC,D,35,20,0,-15,25,0,-10,15,1772,1712,-3.386,5,36.19,0.96,13.33
4662.T,2025-06-11,GC,C,40,20,10,-5,25,-15,-10,15,1412,1490,5.5241,5,85.06,1.17,22.36
4884.T,2025-06-30,GC,C,50,10,-15,15,25,10,-10,15,867,825,-4.8443,5,51.03,0.34,1.42
6339.T,2025-06-25,GC,D,0,-20,10,-15,15,10,-10,-10,826,860,4.1162,5,37.04,1.44,0.04
1717.T,2025-06-19,GC,A,100,20,10,15,25,10,15,15,966,952,-1.4493,5,59,1.41,5.2
9763.T,2025-06-12,GC,C,50,10,-15,15,25,10,-10,15,1028.3,1015,-1.2934,5,59.19,0.38,2.19
9312.T,2025-06-05,GC,A,100,20,20,15,25,0,8,15,2512,2463,-1.9506,5,69.94,1.96,8.89
3687.T,2025-06-22,GC,C,50,20,10,5,25,-15,-10,15,2100,2046,-2.5714,5,46.76,1.17,16.25
4719.T,2025-06-29,GC,B,68,20,-15,15,25,0,8,15,3605,3530,-2.0804,5,67.84,0.52,11.2
2735.T,2025-06-10,GC,D,0,-20,-15,-15,25,10,-10,15,709,698,-1.5515,5,30.3,0.36,1.13
5240.T,2025-06-15,GC,A,83,20,0,15,25,0,8,15,367,353,-3.8147,5,63.29,0.7,14.56
6246.T,2025-06-29,GC,C,50,10,-15,15,25,10,-10,15,1623,1630,0.4313,5,52.17,0.22,1.3
3994.T,2025-06-05,GC,A,83,20,0,15,25,0,8,15,4794,4769,-0.5215,5,55.23,0.77,12.35
9882.T,2025-06-08,GC,B,65,20,0,5,25,10,-10,15,1530,1520,-0.6536,5,47.49,0.99,7.93
7595.T,2025-06-16,GC,D,13,-20,-15,15,25,10,8,-10,1297.5,1287.5,-0.7707,5,64.33,0.6,2.97
3306.T,2025-06-26,GC,D,33,20,-15,-5,25,-15,8,15,773,704,-8.9263,5,71.61,0.15,35.47
4935.T,2025-06-19,GC,D,5,20,-15,-15,25,-15,-10,15,403,405,0.4963,5,32.73,0.33,36.18
3266.T,2025-06-11,GC,B,65,10,0,15,25,10,-10,15,84,84,0,5,54.55,0.92,4.22
6727.T,2025-06-08,GC,A,85,20,10,15,25,10,-10,15,629,619,-1.5898,5,52.99,1.14,4.97
5139.T,2025-06-05,GC,D,35,20,-15,15,25,-15,-10,15,1072,1110,3.5448,5,53.59,0.53,20.61
4665.T,2025-06-18,GC,B,63,10,10,-5,25,0,8,15,4066,3918,-3.6399,5,77.61,1.4,9.28
9220.T,2025-06-19,GC,C,48,20,-15,-5,25,0,8,15,1055,1054,-0.0948,5,77.33,0.25,9.13
146A.T,2025-06-18,GC,B,78,20,10,15,25,-15,8,15,2445,2605,6.544,5,60.17,1.43,17.88
7740.T,2025-06-30,GC,B,75,10,10,15,25,10,-10,15,875,871,-0.4571,5,53.52,1.49,4.82
6845.T,2025-06-19,GC,C,55,-10,10,15,25,10,-10,15,1290.5,1328.5,2.9446,5,58.37,1.24,6.69
2802.T,2025-06-23,GC,C,50,20,0,15,25,-15,-10,15,3714,3909,5.2504,5,63.01,0.97,16.03
3159.T,2025-06-11,GC,A,83,10,20,-5,25,10,8,15,340,332,-2.3529,5,83.33,1.77,5.1
9083.T,2025-06-16,GC,A,100,10,20,15,25,10,8,15,1762.5,1760,-0.1418,5,67.44,4.31,0.97
1593.T,2025-06-03,GC,A,85,20,10,15,25,10,-10,15,26015,26200,0.7111,5,52.49,1.25,3.57
6976.T,2025-06-16,GC,C,55,20,10,5,25,-10,-10,15,2333,2302.5,-1.3073,5,45.79,1.15,-0.49
8622.T,2025-06-05,GC,B,75,20,10,15,15,10,-10,15,545,553,1.4679,5,53.57,1.12,1.97
7815.T,2025-06-23,GC,B,63,-20,10,15,25,10,8,15,606,603,-0.495,5,69.06,1.41,4.58
1458.T,2025-06-12,GC,B,75,20,0,15,25,10,-10,15,29710,30280,1.9185,5,62.34,0.94,7.03
8362.T,2025-06-25,GC,C,45,10,10,-15,25,10,-10,15,1751,1756,0.2856,5,26.99,1.01,0.6
7822.T,2025-06-03,GC,D,30,20,-15,-15,25,10,-10,15,216,220,1.8519,5,41.38,0.21,1.03
4440.T,2025-06-09,GC,C,40,20,-15,5,25,0,-10,15,1193,1243,4.1911,5,49.51,0.19,14.42
188A.T,2025-06-19,GC,D,10,-20,-15,5,25,10,-10,15,919,943,2.6115,5,45.67,0.3,1.39
8341.T,2025-06-26,GC,C,55,0,10,5,25,10,-10,15,1634,1616.7,-1.0588,5,49.43,1.02,7.01
2871.T,2025-06-11,GC,C,53,-20,0,15,25,10,8,15,1864.5,1897,1.7431,5,53.2,0.91,1.09
3856.T,2025-06-05,GC,C,50,20,-15,15,15,10,-10,15,631,589,-6.6561,5,55.97,0.31,7.76
3321.T,2025-06-11,GC,B,73,20,10,-5,25,0,8,15,1319,1275,-3.3359,5,77.14,1.26,14.92
5801.T,2025-06-17,GC,D,35,20,-15,15,25,-15,-10,15,6899,6975,1.1016,5,56.33,0.61,25.35
7994.T,2025-06-29,GC,B,75,10,10,15,25,10,-10,15,2220,2256,1.6216,5,54.86,1.45,7.01
8308.T,2025-06-26,GC,B,75,20,10,15,25,0,-10,15,1330.5,1313,-1.3153,5,64.52,1.16,9.6
9212.T,2025-06-16,GC,A,100,20,20,15,15,10,8,15,413,401,-2.9056,5,57.58,1.62,2.87
5133.T,2025-06-16,GC,D,25,20,-15,5,25,-15,-10,15,383,381,-0.5222,5,46.11,0.3,29.13
3891.T,2025-06-30,GC,A,100,0,20,15,25,10,15,15,1770,1717,-2.9944,5,52.5,2.24,2.87
1572.T,2025-06-24,GC,A,85,10,20,15,25,10,-10,15,7115,6980,-1.8974,5,60.37,1.76,6.78
3190.T,2025-06-26,GC,A,100,10,20,15,25,10,8,15,601,594,-1.1647,5,62.79,1.71,2.81
7570.T,2025-06-08,GC,B,65,10,0,15,25,10,-10,15,1322,1308,-1.059,5,50.95,0.76,3.34
6590.T,2025-06-15,GC,B,68,20,0,15,25,-15,8,15,1824,1896,3.9474,5,61.11,0.97,17.25
3002.T,2025-06-12,GC,C,48,20,0,-5,25,-15,8,15,3575,3490,-2.3776,5,84.92,0.86,28.32
3624.T,2025-06-26,GC,D,15,20,-15,15,15,0,-10,-10,116,103,-11.2069,5,56.83,0.1,11
6481.T,2025-06-29,GC,C,45,10,10,-15,25,10,-10,15,3857,3838,-0.4926,5,35.76,1.48,4.2
2307.T,2025-06-29,GC,D,0,-20,10,5,25,-10,-10,-10,1028,1002,-2.5292,5,47.51,1.02,-0.8
4575.T,2025-06-25,GC,C,45,-20,20,15,25,0,15,-10,1088,1014,-6.8015,5,69.01,3.87,9.1
8101.T,2025-06-25,GC,D,25,-20,0,5,25,10,-10,15,2048,2070,1.0742,5,46.67,0.98,2.56
8979.T,2025-06-15,GC,A,83,-10,20,15,25,10,8,15,177000,179600,1.4689,5,62.5,2.7,1.96
4372.T,2025-06-15,GC,B,60,20,-15,15,25,10,-10,15,1558,1570,0.7702,5,55.38,0.46,5.55
7581.T,2025-06-26,GC,C,55,10,0,15,25,0,-10,15,5040,5100,1.1905,5,56.16,0.82,9
8070.T,2025-06-05,GC,A,100,20,20,15,25,0,8,15,769,766,-0.3901,5,67.96,1.71,8.28
188A.T,2025-06-12,GC,D,30,0,-15,5,25,10,-10,15,928,919,-0.9698,5,48.36,0.58,2.66
7636.T,2025-06-22,GC,A,85,10,20,15,25,10,-10,15,831,807,-2.8881,5,52.63,4.41,2.82
7094.T,2025-06-05,GC,D,35,20,-15,15,25,-15,-10,15,2154,2233,3.6676,5,55.05,0.57,54.6
2418.T,2025-06-15,GC,C,45,20,20,-15,25,-10,-10,15,586,555,-5.2901,5,35.56,2.23,-2.23
224A.T,2025-06-15,GC,A,88,20,20,15,25,-15,8,15,1214,1229,1.2356,5,60.66,9.3,32.93
8173.T,2025-06-17,GC,C,48,10,-15,-5,25,10,8,15,2334,2347,0.557,5,77.93,0.65,5.28
3462.T,2025-06-10,GC,C,45,-20,10,15,25,10,-10,15,142700,147700,3.5039,5,51.28,1.01,0.06
8596.T,2025-06-16,GC,C,50,20,-15,15,25,0,-10,15,1176,1192,1.3605,5,55.15,0.6,10.4
2804.T,2025-06-04,GC,C,43,-20,0,5,25,10,8,15,1751,1749,-0.1142,5,49.15,0.78,0.56
9271.T,2025-06-15,GC,D,0,-20,-15,5,25,-10,-10,-10,442,445,0.6787,5,47.17,0.51,-0.29
